#wavelength (micron)	Absolute Flux Density (erg / (cm2 micron s))	Uncertainty (erg / (cm2 micron s))
1.6581100225448608	1.2707179058990548e-11	2.4126718757067935e-14
1.6620399951934814	1.2725459574980391e-11	2.6448613942410895e-14
1.6659599542617798	1.272721945194677e-11	5.969135369364789e-14
1.6698700189590454	1.2660646836470946e-11	2.378604041161636e-14
1.6737799644470215	1.269143991289301e-11	3.2670575771630295e-14
1.6776800155639648	1.2841496095650218e-11	6.252470600726784e-14
1.6815799474716187	1.2981481341267642e-11	2.344848931180605e-14
1.6854699850082397	1.2883139000052779e-11	2.584360202510967e-14
1.6893500089645386	1.2772088942014648e-11	2.6405798120993085e-14
1.6932200193405151	1.278078944760841e-11	4.490608189119949e-14
1.6970900297164917	1.257804364135362e-11	3.3199337783019686e-14
1.700950026512146	1.2649111792717438e-11	4.707176556634392e-14
1.7048100233078003	1.2525744330638133e-11	4.116975857448857e-14
1.7086600065231323	1.2282332269297758e-11	2.6308431683706203e-14
1.712499976158142	1.2038040703155062e-11	4.254332414241509e-14
1.7163399457931519	1.163753468591544e-11	4.578500393485202e-14
1.720170021057129	1.1291185868234077e-11	6.412320625653542e-14
1.7239899635314941	1.1068205379993756e-11	3.1437190768342574e-14
1.727810025215149	1.0740625402960724e-11	5.386276074139697e-14
1.731619954109192	1.0565642111215467e-11	4.9601781829024943e-14
1.7354199886322021	1.021352620533822e-11	2.674891930946454e-14
1.7392200231552124	1.0023195815000996e-11	1.8257461447085226e-14
1.7430100440979004	9.804515706257622e-12	3.17544079952211e-14
1.7467900514602661	9.583930003775887e-12	2.7598808451816982e-14
1.7505700588226318	9.272920105385385e-12	3.21649818054142e-14
1.7543400526046753	8.92880994834977e-12	7.294811727332623e-14
1.7581100463867188	8.720120979466284e-12	3.3108227531081225e-14
1.76187002658844	8.583340635470726e-12	5.413012499713189e-14
1.7656199932098389	8.332704318214645e-12	3.891013555736185e-14
1.7693699598312378	7.976677478260807e-12	3.5227575115879053e-14
1.773110032081604	7.684231723148471e-12	5.62970792216972e-14
1.7768399715423584	7.51874083826376e-12	8.505673785739673e-14
1.7805700302124023	7.347737002172394e-12	2.6721351775163202e-14
1.7842899560928345	7.1789805003441565e-12	2.803792896639845e-14
1.7880100011825562	6.953927451230912e-12	7.806641211293222e-14
1.7917200326919556	6.81540717958895e-12	1.0258590851797145e-13
1.7954200506210327	6.883670283092114e-12	9.345826114956837e-14
1.7991199493408203	6.662057624312601e-12	2.0195077435423286e-13
1.8028099536895752	6.574204288595231e-12	1.51624128834002e-13
1.80649995803833	6.431305141219035e-12	1.272428614296911e-13
1.8101799488067627	6.600608514623074e-12	1.0698004439778364e-13
1.8138500452041626	6.728434216035639e-12	1.9040093124107066e-13
1.817520022392273	6.675254966836963e-12	1.9282820240724974e-13
1.821179986000061	6.561447565833767e-12	1.3093607415751857e-13
1.8248300552368164	6.605848246882262e-12	2.4302776588033814e-13
